total_ot_paid,headcount,agency
2347532030.95,66863,POLICE DEPARTMENT
1167093093.43,22003,FIRE DEPARTMENT
645861374.08,11381,DEPARTMENT OF CORRECTION
412974020.42,17056,NYC HOUSING AUTHORITY
368000036.22,12634,DEPARTMENT OF SANITATION
207362759.43,7450,DEPARTMENT OF TRANSPORTATION
184940171.74,13932,HRA/DEPT OF SOCIAL SERVICES
127155524.54,7437,DEPT OF ENVIRONMENT PROTECTION
106217812.77,9526,ADMIN FOR CHILDREN'S SVCS
67963234.27,16926,DEPARTMENT OF EDUCATION ADMIN
62866811.55,3024,DEPT OF CITYWIDE ADMIN SVCS
54836556.29,17223,DEPT OF PARKS & RECREATION
49851871.87,2533,DEPT. OF HOMELESS SERVICES
40075245.72,8749,DEPT OF HEALTH/MENTAL HYGIENE
28544015.42,1325,BOARD OF ELECTION
16146463.09,2371,DEPARTMENT OF FINANCE
8954120.3,2328,DEPARTMENT OF BUILDINGS
7965853.91,3374,HOUSING PRESERVATION & DVLPMNT
7861654.18,1464,DEPARTMENT OF PROBATION
7856435.58,2466,DISTRICT ATTORNEY-MANHATTAN
6253141.85,4211,COMMUNITY COLLEGE (MANHATTAN)
5426328.6,1718,DISTRICT ATTORNEY KINGS COUNTY
5249587.79,679,NYC EMPLOYEES RETIREMENT SYS
4967732.15,2131,LAW DEPARTMENT
4558541.99,2163,TECHNOLOGY & INNOVATION
3676393.98,1162,DISTRICT ATTORNEY QNS COUNTY
3648249.66,1855,COMMUNITY COLLEGE (BRONX)
2966109.74,689,TAXI & LIMOUSINE COMMISSION
2947915.35,2568,COMMUNITY COLLEGE (KINGSBORO)
2694677.45,1796,COMMUNITY COLLEGE (HOSTOS)
2679395.62,1597,DEPT. OF DESIGN & CONSTRUCTION
1970188.68,2270,COMMUNITY COLLEGE (QUEENSBORO)
1927161.82,336,OFFICE OF EMERGENCY MANAGEMENT
1605735.22,1801,BRONX DISTRICT ATTORNEY
1473927.01,229,CAMPAIGN FINANCE BOARD
1392683.16,447,FINANCIAL INFO SVCS AGENCY
1280437.37,3662,COMMUNITY COLLEGE (LAGUARDIA)
980846.6900000001,188,NYC POLICE PENSION FUND
862854.8099999999,382,DEPARTMENT OF INVESTIGATION
847588.95,1057,OFFICE OF THE COMPTROLLER
744506.11,354,CIVILIAN COMPLAINT REVIEW BD
418090.78,654,OFFICE OF MANAGEMENT & BUDGET
290845.03,854,DEPT OF YOUTH & COMM DEV SRVS
282972.68,68,NYC FIRE PENSION FUND
271072.35,65,TAX COMMISSION
258969.72,286,DISTRICT ATTORNEY-SPECIAL NARC
206341.52,855,ADMIN TRIALS AND HEARINGS
204821.67,577,CONSUMER AND WORKER PROTECTION
177397.61000000002,489,GUTTMAN COMMUNITY COLLEGE
142992.63,441,DEPARTMENT OF BUSINESS SERV.
122784.67,288,DISTRICT ATTORNEY RICHMOND COU
121703.17,167,OFF OF PAYROLL ADMINISTRATION
112077.22,81,BOROUGH PRESIDENT-BRONX
111299.38,507,TEACHERS RETIREMENT SYSTEM
103411.75,820,OFFICE OF THE MAYOR
99838.88,444,DEPARTMENT FOR THE AGING
88541.5,347,HUNTER COLLEGE HIGH SCHOOL
75966.37000000001,472,DEPARTMENT OF CITY PLANNING
69253.24,98,BUSINESS INTEGRITY COMMISSION
52630.55,52,OFFICE OF THE ACTUARY
41760.81,208,OFFICE OF LABOR RELATIONS
38430.17,53,NYC DEPT OF VETERANS' SERVICES
36215.799999999996,94,LANDMARKS PRESERVATION COMM
27271.21,85,CULTURAL AFFAIRS
7190.5599999999995,246,CUNY CENTRAL OFFICE
5427.16,128,OFFICE OF CRIMINAL JUSTICE
3414.53,117,BOROUGH PRESIDENT-BROOKLYN
2548.22,71,CITY CLERK
694.49,57,PRESIDENT BOROUGH OF MANHATTAN
360.56,31,OFFICE OF RACIAL EQUITY
99.35,322,MAYORS OFFICE OF CONTRACT SVCS
32.9,13,MUNICIPAL WATER FIN AUTHORITY
4.29,181,HUMAN RIGHTS COMMISSION
0.09,14,CIVIL SERVICE COMMISSION
0.0,3,BROOKLYN COMMUNITY BOARD #15
0.0,83,BOROUGH PRESIDENT-QUEENS
0.0,5,BRONX COMMUNITY BOARD #4
0.0,82,DEPT OF RECORDS & INFO SERVICE
0.0,2,BRONX COMMUNITY BOARD #3
0.0,2,BRONX COMMUNITY BOARD #2
0.0,3,BRONX COMMUNITY BOARD #6
0.0,2,BRONX COMMUNITY BOARD #12
0.0,3,BRONX COMMUNITY BOARD #11
0.0,95885,DEPT OF ED PER SESSION TEACHER
0.0,4,BRONX COMMUNITY BOARD #10
0.0,20838,DEPT OF ED PER DIEM TEACHERS
0.0,5,DISTRICTING COMMISSION
0.0,1034,DOE CUSTODIAL PAYROL
0.0,25,EQUAL EMPLOY PRACTICES COMM
0.0,112777,DEPT OF ED PEDAGOGICAL
0.0,4,BRONX COMMUNITY BOARD #1
0.0,46342,DEPT OF ED PARA PROFESSIONALS
0.0,4,BROOKLYN COMMUNITY BOARD #16
0.0,27657,DEPT OF ED HRLY SUPPORT STAFF
0.0,5,BROOKLYN COMMUNITY BOARD #17
0.0,5,BRONX COMMUNITY BOARD #7
0.0,97,INDEPENDENT BUDGET OFFICE
0.0,5,BRONX COMMUNITY BOARD #8
0.0,4,BRONX COMMUNITY BOARD #9
0.0,4,MANHATTAN COMMUNITY BOARD #1
0.0,5,MANHATTAN COMMUNITY BOARD #10
0.0,3,MANHATTAN COMMUNITY BOARD #11
0.0,4,MANHATTAN COMMUNITY BOARD #12
0.0,3,MANHATTAN COMMUNITY BOARD #2
0.0,7,MANHATTAN COMMUNITY BOARD #3
0.0,3,MANHATTAN COMMUNITY BOARD #4
0.0,4,MANHATTAN COMMUNITY BOARD #5
0.0,3,MANHATTAN COMMUNITY BOARD #6
0.0,3,MANHATTAN COMMUNITY BOARD #7
0.0,7,MANHATTAN COMMUNITY BOARD #8
0.0,4,MANHATTAN COMMUNITY BOARD #9
0.0,8,BROOKLYN COMMUNITY BOARD #1
0.0,5,BROOKLYN COMMUNITY BOARD #10
0.0,3,BROOKLYN COMMUNITY BOARD #11
0.0,4,BROOKLYN COMMUNITY BOARD #12
0.0,26,CONFLICTS OF INTEREST BOARD
0.0,44056,BOARD OF ELECTION POLL WORKERS
0.0,4,BROOKLYN COMMUNITY BOARD #13
0.0,3,BROOKLYN COMMUNITY BOARD #14
0.0,18,OFFICE OF COLLECTIVE BARGAININ
0.0,24,COMMISSION ON RACIAL EQUITY
0.0,1517,CITY COUNCIL
0.0,3,BROOKLYN COMMUNITY BOARD #9
0.0,3,BROOKLYN COMMUNITY BOARD #8
0.0,3,BROOKLYN COMMUNITY BOARD #7
0.0,3,BROOKLYN COMMUNITY BOARD #6
0.0,3,BROOKLYN COMMUNITY BOARD #5
0.0,4,BROOKLYN COMMUNITY BOARD #4
0.0,225,PERSONNEL MONITORS
0.0,3,BROOKLYN COMMUNITY BOARD #3
0.0,5,BROOKLYN COMMUNITY BOARD #2
0.0,13,PUBLIC ADMINISTRATOR-BRONX
0.0,20,PUBLIC ADMINISTRATOR-KINGS
0.0,13,PUBLIC ADMINISTRATOR-NEW YORK
0.0,7,PUBLIC ADMINISTRATOR-QUEENS
0.0,5,PUBLIC ADMINISTRATOR-RICHMOND
0.0,95,PUBLIC ADVOCATE
0.0,143,PUBLIC SERVICE CORPS
0.0,4,QUEENS COMMUNITY BOARD #1
0.0,2,QUEENS COMMUNITY BOARD #10
0.0,3,QUEENS COMMUNITY BOARD #11
0.0,3,QUEENS COMMUNITY BOARD #12
0.0,2,QUEENS COMMUNITY BOARD #13
0.0,5,QUEENS COMMUNITY BOARD #14
0.0,4,QUEENS COMMUNITY BOARD #2
0.0,3,QUEENS COMMUNITY BOARD #3
0.0,4,QUEENS COMMUNITY BOARD #4
0.0,4,QUEENS COMMUNITY BOARD #5
0.0,4,QUEENS COMMUNITY BOARD #6
0.0,3,QUEENS COMMUNITY BOARD #7
0.0,7,QUEENS COMMUNITY BOARD #8
0.0,3,QUEENS COMMUNITY BOARD #9
0.0,2,STATEN ISLAND COMMUNITY BD #1
0.0,3,STATEN ISLAND COMMUNITY BD #2
0.0,3,STATEN ISLAND COMMUNITY BD #3
0.0,3,BROOKLYN COMMUNITY BOARD #18
0.0,41,BOARD OF CORRECTION
0.0,53,BOROUGH PRESIDENT-STATEN IS
0.0,2,BRONX COMMUNITY BOARD #5
